SG_PARTIDO,SG_UF,DS_CARGO,NR_IDADE_DATA_POSSE,DS_GENERO,DS_GRAU_INSTRUCAO,DS_COR_RACA,DS_OCUPACAO
PDT,CE,DEPUTADO ESTADUAL,58,MASCULINO,SUPERIOR INCOMPLETO,PARDA,DEPUTADO
PDT,CE,DEPUTADO ESTADUAL,44,MASCULINO,SUPERIOR COMPLETO,BRANCA,SOCIÓLOGO
PT,CE,DEPUTADO ESTADUAL,37,MASCULINO,SUPERIOR COMPLETO,BRANCA,ADMINISTRADOR
PDT,CE,DEPUTADO ESTADUAL,36,MASCULINO,SUPERIOR COMPLETO,BRANCA,ADVOGADO
PDT,CE,DEPUTADO FEDERAL,52,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PATRIOTA,CE,DEPUTADO ESTADUAL,34,MASCULINO,SUPERIOR COMPLETO,BRANCA,MÉDICO
PT,CE,DEPUTADO FEDERAL,59,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PATRIOTA,CE,DEPUTADO FEDERAL,33,MASCULINO,SUPERIOR COMPLETO,PARDA,EMPRESÁRIO
PSL,CE,DEPUTADO ESTADUAL,60,MASCULINO,SUPERIOR COMPLETO,BRANCA,POLICIAL CIVIL
PT,CE,DEPUTADO ESTADUAL,55,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,DEPUTADO
MDB,CE,DEPUTADO ESTADUAL,36,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,DEPUTADO
PC do B,CE,DEPUTADO ESTADUAL,58,MASCULINO,SUPERIOR COMPLETO,PARDA,MÉDICO
PSDB,CE,DEPUTADO ESTADUAL,35,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,EMPRESÁRIO
PT,CE,DEPUTADO ESTADUAL,56,MASCULINO,SUPERIOR COMPLETO,BRANCA,VEREADOR
PDT,CE,DEPUTADO ESTADUAL,47,MASCULINO,SUPERIOR COMPLETO,BRANCA,ADVOGADO
PV,CE,DEPUTADO FEDERAL,31,MASCULINO,SUPERIOR COMPLETO,PARDA,ADVOGADO
PATRIOTA,CE,DEPUTADO ESTADUAL,45,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,OUTROS
PDT,CE,DEPUTADO FEDERAL,48,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,PARDA,EMPRESÁRIO
PDT,CE,DEPUTADO FEDERAL,37,MASCULINO,SUPERIOR COMPLETO,BRANCA,ADVOGADO
PSD,CE,DEPUTADO ESTADUAL,52,FEMININO,SUPERIOR COMPLETO,BRANCA,ADVOGADO
SOLIDARIEDADE,CE,DEPUTADO FEDERAL,55,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,EMPRESÁRIO
PROS,CE,SENADOR,46,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,EMPRESÁRIO
SOLIDARIEDADE,CE,DEPUTADO ESTADUAL,40,FEMININO,ENSINO MÉDIO COMPLETO,BRANCA,EMPRESÁRIO
PRB,CE,DEPUTADO ESTADUAL,51,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,DEPUTADO
PDT,CE,DEPUTADO ESTADUAL,55,MASCULINO,SUPERIOR INCOMPLETO,BRANCA,DEPUTADO
PC do B,CE,DEPUTADO ESTADUAL,42,FEMININO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PSOL,CE,DEPUTADO ESTADUAL,47,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PDT,CE,DEPUTADO FEDERAL,59,MASCULINO,SUPERIOR COMPLETO,PARDA,PROFESSOR DE ENSINO SUPERIOR
PPS,CE,DEPUTADO ESTADUAL,32,MASCULINO,SUPERIOR COMPLETO,BRANCA,ENGENHEIRO
PSD,CE,DEPUTADO FEDERAL,30,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PSDB,DF,SENADOR,62.0,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PPS,DF,DEPUTADO FEDERAL,45.0,FEMININO,SUPERIOR COMPLETO,BRANCA,EMPRESÁRIO
PSB,DF,SENADOR,47.0,FEMININO,SUPERIOR INCOMPLETO,BRANCA,ATLETA PROFISSIONAL E TÉCNICO EM DESPORTOS
PRB,DF,DEPUTADO DISTRITAL,52.0,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,OUTROS
PDT,DF,DEPUTADO DISTRITAL,45.0,MASCULINO,SUPERIOR COMPLETO,PARDA,DEPUTADO
PDT,DF,DEPUTADO DISTRITAL,50.0,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PROS,DF,DEPUTADO DISTRITAL,49.0,MASCULINO,SUPERIOR COMPLETO,PARDA,SERVIDOR PÚBLICO ESTADUAL
MDB,DF,GOVERNADOR,47.0,MASCULINO,SUPERIOR COMPLETO,BRANCA,ADVOGADO
PT,DF,DEPUTADO FEDERAL,61.0,FEMININO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PHS,DF,DEPUTADO DISTRITAL,53.0,MASCULINO,SUPERIOR COMPLETO,BRANCA,POLICIAL MILITAR
PODE,DF,DEPUTADO DISTRITAL,42.0,MASCULINO,SUPERIOR COMPLETO,BRANCA,SERVIDOR PÚBLICO ESTADUAL
PP,DF,DEPUTADO FEDERAL,41.0,FEMININO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PRP,DF,DEPUTADO DISTRITAL,37.0,MASCULINO,SUPERIOR COMPLETO,BRANCA,PROFESSOR DE ENSINO MÉDIO
PT,DF,DEPUTADO DISTRITAL,64.0,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,PRETA,DEPUTADO
PR,DF,DEPUTADO DISTRITAL,60.0,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PTC,DF,DEPUTADO DISTRITAL,29.0,MASCULINO,SUPERIOR COMPLETO,BRANCA,EMPRESÁRIO
PSB,DF,DEPUTADO DISTRITAL,63.0,FEMININO,SUPERIOR COMPLETO,PARDA,DEPUTADO
NOVO,DF,DEPUTADO DISTRITAL,33.0,FEMININO,SUPERIOR COMPLETO,BRANCA,SERVIDOR PÚBLICO FEDERAL
DEM,DF,DEPUTADO FEDERAL,38.0,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,EMPRESÁRIO
PRB,DF,DEPUTADO FEDERAL,43.0,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
AVANTE,DF,DEPUTADO DISTRITAL,52.0,MASCULINO,SUPERIOR COMPLETO,PARDA,SERVIDOR PÚBLICO ESTADUAL
PTB,DF,DEPUTADO DISTRITAL,38.0,FEMININO,SUPERIOR INCOMPLETO,PARDA,ASTRÔNOMO
MDB,DF,DEPUTADO DISTRITAL,35.0,MASCULINO,SUPERIOR COMPLETO,BRANCA,ADMINISTRADOR
PRP,DF,DEPUTADO FEDERAL,57.0,FEMININO,SUPERIOR COMPLETO,BRANCA,ADVOGADO
PR,DF,DEPUTADO FEDERAL,38.0,FEMININO,SUPERIOR COMPLETO,PARDA,EMPRESÁRIO
PSC,DF,DEPUTADO DISTRITAL,49.0,MASCULINO,SUPERIOR COMPLETO,BRANCA,MILITAR REFORMADO
PT,DF,DEPUTADO DISTRITAL,68.0,FEMININO,SUPERIOR COMPLETO,BRANCA,MÉDICO
PV,DF,DEPUTADO FEDERAL,36.0,MASCULINO,SUPERIOR COMPLETO,BRANCA,PROFESSOR DE ENSINO MÉDIO
REDE,DF,DEPUTADO DISTRITAL,33.0,MASCULINO,SUPERIOR COMPLETO,BRANCA,PROFESSOR DE ENSINO SUPERIOR
PSD,DF,DEPUTADO DISTRITAL,40.0,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PSOL,DF,DEPUTADO DISTRITAL,33.0,MASCULINO,SUPERIOR COMPLETO,PRETA,ASSISTENTE SOCIAL
PSB,DF,DEPUTADO DISTRITAL,44.0,MASCULINO,SUPERIOR COMPLETO,PARDA,BOMBEIRO MILITAR
PP,DF,DEPUTADO DISTRITAL,68.0,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,PARDA,APOSENTADO (EXCETO SERVIDOR PÚBLICO)
AVANTE,DF,DEPUTADO DISTRITAL,43.0,MASCULINO,SUPERIOR COMPLETO,PARDA,SERVIDOR PÚBLICO ESTADUAL
PRB,DF,DEPUTADO DISTRITAL,38.0,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
DEM,ES,DEPUTADO ESTADUAL,81,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PT,ES,DEPUTADO ESTADUAL,62,FEMININO,ENSINO FUNDAMENTAL COMPLETO,BRANCA,OUTROS
PSDB,ES,DEPUTADO ESTADUAL,40,MASCULINO,SUPERIOR COMPLETO,PARDA,ANALISTA DE SISTEMAS
PSB,ES,DEPUTADO FEDERAL,62,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
REDE,ES,SENADOR,52,MASCULINO,SUPERIOR COMPLETO,BRANCA,POLICIAL CIVIL
MDB,ES,DEPUTADO ESTADUAL,79,MASCULINO,SUPERIOR COMPLETO,BRANCA,MÉDICO
PSL,ES,DEPUTADO ESTADUAL,47,MASCULINO,SUPERIOR COMPLETO,PARDA,POLICIAL MILITAR
PSL,ES,DEPUTADO FEDERAL,57,FEMININO,SUPERIOR COMPLETO,BRANCA,MÉDICO
PMN,ES,DEPUTADO ESTADUAL,62,FEMININO,SUPERIOR COMPLETO,PARDA,ENFERMEIRO
PSDB,ES,DEPUTADO ESTADUAL,56,MASCULINO,SUPERIOR COMPLETO,PRETA,DEPUTADO
PP,ES,DEPUTADO ESTADUAL,34,MASCULINO,SUPERIOR COMPLETO,BRANCA,DIRETOR DE EMPRESAS
PRB,ES,DEPUTADO FEDERAL,42,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PP,ES,DEPUTADO FEDERAL,46,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PTB,ES,DEPUTADO ESTADUAL,48,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,VEREADOR
PSB,ES,GOVERNADOR,58,MASCULINO,SUPERIOR COMPLETO,BRANCA,OUTROS
REDE,ES,DEPUTADO ESTADUAL,31,MASCULINO,SUPERIOR COMPLETO,BRANCA,VEREADOR
PSD,ES,DEPUTADO ESTADUAL,68,MASCULINO,SUPERIOR COMPLETO,PARDA,DEPUTADO
MDB,ES,DEPUTADO ESTADUAL,72,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PROS,ES,DEPUTADO ESTADUAL,56,FEMININO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PV,ES,DEPUTADO ESTADUAL,52,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,PRODUTOR AGROPECUÁRIO
DEM,ES,DEPUTADO FEDERAL,59,FEMININO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PSB,ES,DEPUTADO ESTADUAL,52,MASCULINO,SUPERIOR COMPLETO,BRANCA,PROFESSOR DE ENSINO MÉDIO
AVANTE,ES,DEPUTADO ESTADUAL,37,MASCULINO,SUPERIOR COMPLETO,BRANCA,OUTROS
PT,ES,DEPUTADO FEDERAL,54,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PSL,ES,DEPUTADO ESTADUAL,62,MASCULINO,SUPERIOR COMPLETO,PARDA,POLICIAL CIVIL
PPS,ES,DEPUTADO ESTADUAL,38,MASCULINO,SUPERIOR COMPLETO,BRANCA,VEREADOR
PSB,ES,DEPUTADO FEDERAL,27,MASCULINO,SUPERIOR COMPLETO,BRANCA,OUTROS
PR,ES,DEPUTADO FEDERAL,48,FEMININO,SUPERIOR INCOMPLETO,BRANCA,MÚSICO
PDT,ES,DEPUTADO ESTADUAL,48,MASCULINO,SUPERIOR COMPLETO,PARDA,DEPUTADO
PPS,ES,DEPUTADO FEDERAL,47,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PSB,ES,DEPUTADO ESTADUAL,41,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PRB,ES,DEPUTADO ESTADUAL,31,MASCULINO,SUPERIOR INCOMPLETO,PARDA,DEPUTADO
PSDB,ES,DEPUTADO ESTADUAL,65,MASCULINO,SUPERIOR COMPLETO,BRANCA,MÉDICO
PPS,ES,SENADOR,47,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,OUTROS
PV,ES,DEPUTADO ESTADUAL,54,MASCULINO,SUPERIOR COMPLETO,BRANCA,EMPRESÁRIO
PRP,ES,DEPUTADO ESTADUAL,36,MASCULINO,SUPERIOR COMPLETO,BRANCA,POLICIAL CIVIL
PATRIOTA,ES,DEPUTADO ESTADUAL,43,MASCULINO,SUPERIOR COMPLETO,PARDA,MÉDICO
PSL,ES,DEPUTADO ESTADUAL,55,MASCULINO,SUPERIOR COMPLETO,BRANCA,POLICIAL MILITAR
DC,ES,DEPUTADO ESTADUAL,54,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PRB,ES,DEPUTADO ESTADUAL,54,MASCULINO,SUPERIOR COMPLETO,PARDA,MÉDICO
PSL,ES,DEPUTADO ESTADUAL,51,MASCULINO,SUPERIOR COMPLETO,PARDA,JORNALISTA E REDATOR
PDT,ES,DEPUTADO FEDERAL,61,MASCULINO,SUPERIOR COMPLETO,PARDA,DEPUTADO
PRP,ES,DEPUTADO ESTADUAL,49,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PSL,GO,DEPUTADO FEDERAL,56,MASCULINO,SUPERIOR COMPLETO,PARDA,DEPUTADO
PTB,GO,DEPUTADO ESTADUAL,34,MASCULINO,SUPERIOR COMPLETO,PARDA,DEPUTADO
PRP,GO,SENADOR,57,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,BRANCA,JORNALEIRO
PRB,GO,DEPUTADO ESTADUAL,43,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,DEPUTADO
PRP,GO,DEPUTADO ESTADUAL,45,MASCULINO,SUPERIOR INCOMPLETO,BRANCA,PRODUTOR AGROPECUÁRIO
DEM,GO,DEPUTADO ESTADUAL,71,MASCULINO,SUPERIOR INCOMPLETO,PARDA,EMPRESÁRIO
PSC,GO,DEPUTADO ESTADUAL,39,MASCULINO,SUPERIOR COMPLETO,BRANCA,OUTROS
PSD,GO,DEPUTADO FEDERAL,49,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PP,GO,DEPUTADO ESTADUAL,52,MASCULINO,SUPERIOR COMPLETO,PARDA,POLICIAL MILITAR
PSL,GO,DEPUTADO ESTADUAL,34,MASCULINO,SUPERIOR COMPLETO,BRANCA,SERVIDOR PÚBLICO ESTADUAL
PSDB,GO,DEPUTADO ESTADUAL,48,MASCULINO,SUPERIOR COMPLETO,PARDA,DEPUTADO
PSDB,GO,DEPUTADO ESTADUAL,31,MASCULINO,SUPERIOR COMPLETO,PARDA,MÉDICO
PSDB,GO,DEPUTADO ESTADUAL,57,FEMININO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PDT,GO,DEPUTADO ESTADUAL,38,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
DEM,GO,DEPUTADO FEDERAL,65,MASCULINO,SUPERIOR COMPLETO,BRANCA,MÉDICO
MDB,GO,DEPUTADO ESTADUAL,56,MASCULINO,SUPERIOR INCOMPLETO,BRANCA,PECUARISTA
PP,GO,SENADOR,56,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,EMPRESÁRIO
DC,GO,DEPUTADO ESTADUAL,28,MASCULINO,SUPERIOR INCOMPLETO,BRANCA,EMPRESÁRIO
PSDB,GO,DEPUTADO ESTADUAL,71,MASCULINO,SUPERIOR COMPLETO,BRANCA,MÉDICO
PSDB,GO,DEPUTADO ESTADUAL,67,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,APOSENTADO (EXCETO SERVIDOR PÚBLICO)
DEM,GO,DEPUTADO ESTADUAL,70,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PSDB,GO,DEPUTADO ESTADUAL,28,MASCULINO,SUPERIOR INCOMPLETO,BRANCA,DEPUTADO
PPS,GO,DEPUTADO ESTADUAL,38,MASCULINO,SUPERIOR COMPLETO,PARDA,ADVOGADO
DC,GO,DEPUTADO ESTADUAL,37,MASCULINO,SUPERIOR COMPLETO,BRANCA,VEREADOR
PRB,GO,DEPUTADO ESTADUAL,43,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,BRANCA,VEREADOR
SOLIDARIEDADE,GO,DEPUTADO ESTADUAL,28,MASCULINO,SUPERIOR COMPLETO,PARDA,OUTROS
PV,GO,DEPUTADO ESTADUAL,40,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,VEREADOR
PDT,GO,DEPUTADO FEDERAL,49,FEMININO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PT,GO,DEPUTADO ESTADUAL,45,FEMININO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PRTB,GO,DEPUTADO ESTADUAL,37,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,EMPRESÁRIO
PROS,GO,DEPUTADO ESTADUAL,35,MASCULINO,SUPERIOR COMPLETO,BRANCA,VEREADOR
PATRIOTA,GO,DEPUTADO ESTADUAL,27,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,OUTROS
PSL,GO,DEPUTADO FEDERAL,41,MASCULINO,SUPERIOR COMPLETO,PARDA,SERVIDOR PÚBLICO FEDERAL
PT,GO,DEPUTADO FEDERAL,62,MASCULINO,SUPERIOR COMPLETO,BRANCA,PROFESSOR DE ENSINO SUPERIOR
PR,GO,DEPUTADO FEDERAL,70,FEMININO,ENSINO FUNDAMENTAL INCOMPLETO,BRANCA,DEPUTADO
PSC,GO,DEPUTADO FEDERAL,45,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,EMPRESÁRIO
SOLIDARIEDADE,GO,DEPUTADO ESTADUAL,33,MASCULINO,SUPERIOR COMPLETO,BRANCA,ADVOGADO
PROS,GO,DEPUTADO ESTADUAL,57,MASCULINO,SUPERIOR COMPLETO,BRANCA,OUTROS
PROS,GO,DEPUTADO ESTADUAL,34,MASCULINO,SUPERIOR COMPLETO,PARDA,VEREADOR
PRB,GO,DEPUTADO FEDERAL,56,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
DEM,GO,DEPUTADO ESTADUAL,56,MASCULINO,SUPERIOR COMPLETO,BRANCA,MÉDICO
PT,GO,DEPUTADO ESTADUAL,58,MASCULINO,SUPERIOR COMPLETO,BRANCA,VEREADOR
SOLIDARIEDADE,GO,DEPUTADO FEDERAL,31,MASCULINO,SUPERIOR COMPLETO,BRANCA,"CORRETOR DE IMÓVEIS, SEGUROS, TÍTULOS E VALORES"
MDB,GO,DEPUTADO ESTADUAL,57,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,DEPUTADO
PP,GO,DEPUTADO FEDERAL,49,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,OUTROS
MDB,GO,DEPUTADO ESTADUAL,44,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PRP,GO,DEPUTADO ESTADUAL,52,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PP,GO,DEPUTADO FEDERAL,65,MASCULINO,SUPERIOR COMPLETO,BRANCA,EMPRESÁRIO
DEM,GO,GOVERNADOR,69,MASCULINO,SUPERIOR COMPLETO,BRANCA,MÉDICO
PRP,GO,DEPUTADO FEDERAL,68,MASCULINO,SUPERIOR COMPLETO,BRANCA,MÉDICO
PSD,GO,DEPUTADO ESTADUAL,51,MASCULINO,SUPERIOR COMPLETO,BRANCA,EMPRESÁRIO
PSD,GO,DEPUTADO ESTADUAL,30,MASCULINO,SUPERIOR INCOMPLETO,BRANCA,DEPUTADO
PRTB,GO,DEPUTADO ESTADUAL,44,MASCULINO,SUPERIOR COMPLETO,PARDA,EMPRESÁRIO
PSDB,GO,DEPUTADO FEDERAL,59,MASCULINO,SUPERIOR COMPLETO,BRANCA,MÉDICO
PSL,GO,DEPUTADO ESTADUAL,32,MASCULINO,SUPERIOR COMPLETO,BRANCA,AGRICULTOR
DEM,GO,DEPUTADO FEDERAL,57,MASCULINO,SUPERIOR COMPLETO,BRANCA,TÉCNICO EM AGRONOMIA E AGRIMENSURA
PSB,GO,DEPUTADO ESTADUAL,38,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,DEPUTADO
PSB,GO,DEPUTADO FEDERAL,52,MASCULINO,SUPERIOR COMPLETO,BRANCA,VEREADOR
PTC,GO,DEPUTADO ESTADUAL,58,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
DEM,GO,DEPUTADO ESTADUAL,54,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,BRANCA,EMPRESÁRIO
PODE,GO,DEPUTADO FEDERAL,58,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PATRIOTA,MA,DEPUTADO FEDERAL,26,MASCULINO,SUPERIOR INCOMPLETO,BRANCA,OUTROS
PDT,MA,SENADOR,39,MASCULINO,SUPERIOR COMPLETO,PRETA,DEPUTADO
PDT,MA,DEPUTADO ESTADUAL,30,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,PARDA,DEPUTADO
PC do B,MA,DEPUTADO ESTADUAL,32,MASCULINO,SUPERIOR COMPLETO,BRANCA,ADVOGADO
PRB,MA,DEPUTADO FEDERAL,46,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PC do B,MA,DEPUTADO ESTADUAL,39,MASCULINO,SUPERIOR COMPLETO,PARDA,DEPUTADO
PV,MA,DEPUTADO ESTADUAL,38,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
SOLIDARIEDADE,MA,DEPUTADO ESTADUAL,27,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,EMPRESÁRIO
DEM,MA,DEPUTADO FEDERAL,34,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PR,MA,DEPUTADO FEDERAL,40,MASCULINO,SUPERIOR COMPLETO,PARDA,EMPRESÁRIO
PC do B,MA,DEPUTADO ESTADUAL,46,MASCULINO,SUPERIOR COMPLETO,BRANCA,ODONTÓLOGO
PRTB,MA,DEPUTADO ESTADUAL,38,MASCULINO,SUPERIOR COMPLETO,BRANCA,MÉDICO
MDB,MA,DEPUTADO FEDERAL,45,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PSB,MA,DEPUTADO FEDERAL,50,MASCULINO,SUPERIOR COMPLETO,PRETA,BANCÁRIO E ECONOMIÁRIO
PODE,MA,DEPUTADO FEDERAL,57,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PDT,MA,DEPUTADO ESTADUAL,37,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,DEPUTADO
PDT,MA,DEPUTADO ESTADUAL,71,FEMININO,SUPERIOR COMPLETO,BRANCA,MÉDICO
PC do B,MA,DEPUTADO FEDERAL,34,MASCULINO,SUPERIOR COMPLETO,BRANCA,ADVOGADO
PDT,MA,DEPUTADO ESTADUAL,32,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PR,MA,DEPUTADO ESTADUAL,37,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PDT,MA,DEPUTADO FEDERAL,39,MASCULINO,SUPERIOR COMPLETO,BRANCA,ADVOGADO
DEM,MA,DEPUTADO ESTADUAL,57,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PDT,MA,DEPUTADO ESTADUAL,51,MASCULINO,SUPERIOR COMPLETO,BRANCA,PROFESSOR DE ENSINO SUPERIOR
DEM,MA,DEPUTADO ESTADUAL,44,FEMININO,SUPERIOR COMPLETO,PARDA,ODONTÓLOGO
PSL,MA,DEPUTADO ESTADUAL,39,MASCULINO,SUPERIOR COMPLETO,PARDA,ADVOGADO
PMN,MA,DEPUTADO ESTADUAL,28,MASCULINO,SUPERIOR INCOMPLETO,BRANCA,EMPRESÁRIO
PSB,MA,DEPUTADO ESTADUAL,66,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PC do B,MA,DEPUTADO ESTADUAL,55,MASCULINO,SUPERIOR INCOMPLETO,BRANCA,DEPUTADO
PROS,MA,DEPUTADO ESTADUAL,58,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,SACERDOTE OU MEMBRO DE ORDEM OU SEITA RELIGIOSA
PMN,MA,DEPUTADO FEDERAL,42,MASCULINO,SUPERIOR COMPLETO,BRANCA,ADVOGADO
DEM,MA,DEPUTADO ESTADUAL,33,FEMININO,SUPERIOR COMPLETO,BRANCA,NUTRICIONISTA E ASSEMELHADOS
PR,MA,DEPUTADO ESTADUAL,39,FEMININO,SUPERIOR COMPLETO,BRANCA,OUTROS
PTB,MA,DEPUTADO FEDERAL,39,MASCULINO,SUPERIOR COMPLETO,BRANCA,VEREADOR
PSD,MA,DEPUTADO FEDERAL,37,MASCULINO,SUPERIOR COMPLETO,PARDA,DEPUTADO
PDT,MA,DEPUTADO ESTADUAL,38,MASCULINO,SUPERIOR COMPLETO,BRANCA,MÉDICO
PT,MA,DEPUTADO FEDERAL,63,MASCULINO,SUPERIOR COMPLETO,PARDA,ENGENHEIRO
PP,MA,DEPUTADO ESTADUAL,29,FEMININO,SUPERIOR COMPLETO,PARDA,MÉDICO
MDB,MA,DEPUTADO FEDERAL,58,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PT,MA,DEPUTADO ESTADUAL,45,MASCULINO,SUPERIOR COMPLETO,PRETA,ADVOGADO
PP,MA,DEPUTADO FEDERAL,29,MASCULINO,SUPERIOR COMPLETO,PARDA,DEPUTADO
PRTB,MA,DEPUTADO ESTADUAL,24,MASCULINO,SUPERIOR COMPLETO,PARDA,ENGENHEIRO
PC do B,MA,DEPUTADO ESTADUAL,37,FEMININO,ENSINO MÉDIO COMPLETO,PARDA,DEPUTADO
PC do B,MA,DEPUTADO FEDERAL,52,MASCULINO,SUPERIOR COMPLETO,PARDA,JORNALISTA E REDATOR
PP,MA,DEPUTADO ESTADUAL,35,MASCULINO,SUPERIOR COMPLETO,PARDA,OUTROS
PPS,MA,SENADOR,41,FEMININO,SUPERIOR COMPLETO,PARDA,DEPUTADO
SOLIDARIEDADE,MA,DEPUTADO ESTADUAL,60,FEMININO,SUPERIOR COMPLETO,BRANCA,MÉDICO
PTB,MA,DEPUTADO ESTADUAL,47,FEMININO,SUPERIOR COMPLETO,BRANCA,ADMINISTRADOR
PV,MA,DEPUTADO ESTADUAL,62,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
DEM,MA,DEPUTADO ESTADUAL,30,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
SOLIDARIEDADE,MA,DEPUTADO ESTADUAL,41,MASCULINO,SUPERIOR COMPLETO,PARDA,PROFESSOR DE ENSINO MÉDIO
PR,MA,DEPUTADO ESTADUAL,66,MASCULINO,SUPERIOR COMPLETO,BRANCA,OUTROS
PRB,MA,DEPUTADO ESTADUAL,78,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,APOSENTADO (EXCETO SERVIDOR PÚBLICO)
PC do B,MA,DEPUTADO ESTADUAL,43,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PDT,MA,DEPUTADO ESTADUAL,36,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
MDB,MA,DEPUTADO ESTADUAL,64,MASCULINO,SUPERIOR COMPLETO,BRANCA,MÉDICO
