SG_PARTIDO,SG_UF,DS_CARGO,NR_IDADE_DATA_POSSE,DS_GENERO,DS_GRAU_INSTRUCAO,DS_COR_RACA,DS_OCUPACAO
DEM,AL,DEPUTADO ESTADUAL,32,MASCULINO,SUPERIOR COMPLETO,BRANCA,EMPRESÁRIO
PRB,AL,DEPUTADO FEDERAL,48,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,DEPUTADO
MDB,AL,SENADOR,63,MASCULINO,SUPERIOR COMPLETO,BRANCA,SENADOR
PSD,AL,DEPUTADO ESTADUAL,34,MASCULINO,SUPERIOR COMPLETO,BRANCA,AGRÔNOMO
PRTB,AL,DEPUTADO ESTADUAL,60,FEMININO,SUPERIOR COMPLETO,BRANCA,ADVOGADO
PR,AL,DEPUTADO FEDERAL,57,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PTB,AL,DEPUTADO FEDERAL,31,MASCULINO,SUPERIOR INCOMPLETO,BRANCA,DEPUTADO
PP,AL,DEPUTADO ESTADUAL,59,MASCULINO,SUPERIOR COMPLETO,PARDA,DEPUTADO
MDB,AL,DEPUTADO FEDERAL,42,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PSD,AL,DEPUTADO ESTADUAL,31,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,PRODUTOR AGROPECUÁRIO
PSDB,AL,SENADOR,37,MASCULINO,SUPERIOR COMPLETO,PARDA,ADVOGADO
PP,AL,DEPUTADO FEDERAL,49,MASCULINO,SUPERIOR COMPLETO,PARDA,DEPUTADO
MDB,AL,GOVERNADOR,39,MASCULINO,SUPERIOR COMPLETO,BRANCA,GOVERNADOR
SOLIDARIEDADE,AL,DEPUTADO ESTADUAL,39,MASCULINO,SUPERIOR COMPLETO,BRANCA,PECUARISTA
PDT,AL,DEPUTADO ESTADUAL,61,MASCULINO,SUPERIOR COMPLETO,PARDA,DEPUTADO
PTB,AL,DEPUTADO ESTADUAL,54,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,DEPUTADO
PP,AL,DEPUTADO ESTADUAL,57,FEMININO,SUPERIOR COMPLETO,PARDA,OUTROS
PROS,AL,DEPUTADO ESTADUAL,35,MASCULINO,SUPERIOR COMPLETO,BRANCA,ADMINISTRADOR
MDB,AL,DEPUTADO ESTADUAL,51,MASCULINO,SUPERIOR COMPLETO,PARDA,DEPUTADO
PT,AL,DEPUTADO FEDERAL,61,MASCULINO,SUPERIOR COMPLETO,PARDA,DEPUTADO
MDB,AL,DEPUTADO ESTADUAL,45,FEMININO,SUPERIOR COMPLETO,BRANCA,ADVOGADO
PRTB,AL,DEPUTADO ESTADUAL,26,MASCULINO,ENSINO MÉDIO INCOMPLETO,BRANCA,EMPRESÁRIO
PPS,AL,DEPUTADO ESTADUAL,54,MASCULINO,SUPERIOR COMPLETO,PARDA,DEPUTADO
MDB,AL,DEPUTADO ESTADUAL,61,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PV,AL,DEPUTADO ESTADUAL,47,MASCULINO,SUPERIOR COMPLETO,BRANCA,ADVOGADO
PSC,AM,GOVERNADOR,42,MASCULINO,SUPERIOR COMPLETO,PARDA,JORNALISTA E REDATOR
PTB,AP,SENADOR,54,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,"TÉCNICO DE ELETRICIDADE, ELETRÔNICA E TELECOMUNICAÇÕES"
REDE,AP,SENADOR,46,MASCULINO,SUPERIOR COMPLETO,BRANCA,SENADOR
PDT,AP,GOVERNADOR,57,MASCULINO,SUPERIOR COMPLETO,PARDA,GOVERNADOR
PSOL,BA,DEPUTADO ESTADUAL,47,MASCULINO,SUPERIOR COMPLETO,PRETA,HISTORIADOR
PSD,BA,DEPUTADO ESTADUAL,39,FEMININO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PSD,BA,DEPUTADO ESTADUAL,45,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PC do B,BA,DEPUTADO ESTADUAL,51,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,DEPUTADO
PT,BA,DEPUTADO FEDERAL,54,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,PRETA,DEPUTADO
PP,BA,DEPUTADO FEDERAL,38,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
MDB,BA,DEPUTADO ESTADUAL,45,FEMININO,ENSINO MÉDIO COMPLETO,PARDA,VEREADOR
PT,BA,DEPUTADO ESTADUAL,68,MASCULINO,SUPERIOR COMPLETO,PRETA,DEPUTADO
PDT,BA,DEPUTADO ESTADUAL,71,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PSD,BA,DEPUTADO ESTADUAL,65,MASCULINO,SUPERIOR COMPLETO,BRANCA,MÉDICO
AVANTE,BA,DEPUTADO FEDERAL,42,MASCULINO,SUPERIOR COMPLETO,BRANCA,ADVOGADO
PT,BA,DEPUTADO ESTADUAL,45,MASCULINO,SUPERIOR COMPLETO,PARDA,SERVIDOR PÚBLICO ESTADUAL
PSDB,BA,DEPUTADO ESTADUAL,46,MASCULINO,SUPERIOR COMPLETO,BRANCA,VEREADOR
PSL,BA,DEPUTADO ESTADUAL,33,FEMININO,SUPERIOR INCOMPLETO,PARDA,EMPRESÁRIO
PSB,BA,DEPUTADO ESTADUAL,55,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PP,BA,DEPUTADO ESTADUAL,42,MASCULINO,SUPERIOR INCOMPLETO,PARDA,OUTROS
PC do B,BA,DEPUTADO FEDERAL,59,FEMININO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PHS,BA,DEPUTADO FEDERAL,53,MASCULINO,SUPERIOR COMPLETO,PRETA,OUTROS
PSD,BA,DEPUTADO FEDERAL,57,MASCULINO,SUPERIOR COMPLETO,PARDA,DEPUTADO
PODE,BA,DEPUTADO ESTADUAL,65,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,"CORRETOR DE IMÓVEIS, SEGUROS, TÍTULOS E VALORES"
PHS,BA,DEPUTADO ESTADUAL,38,MASCULINO,SUPERIOR COMPLETO,BRANCA,ADVOGADO
PSC,BA,DEPUTADO ESTADUAL,49,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,DEPUTADO
PT,BA,DEPUTADO ESTADUAL,70,FEMININO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PSB,BA,DEPUTADO ESTADUAL,35,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PC do B,BA,DEPUTADO ESTADUAL,39,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,PARDA,EMPRESÁRIO
PDT,BA,DEPUTADO ESTADUAL,52,MASCULINO,SUPERIOR COMPLETO,PARDA,DEPUTADO
PHS,BA,DEPUTADO FEDERAL,34,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,PARDA,VEREADOR
AVANTE,BA,DEPUTADO FEDERAL,56,MASCULINO,SUPERIOR INCOMPLETO,PRETA,DEPUTADO
PSDB,BA,DEPUTADO ESTADUAL,39,MASCULINO,SUPERIOR COMPLETO,PARDA,VEREADOR
PSD,BA,DEPUTADO ESTADUAL,60,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PT,BA,DEPUTADO ESTADUAL,57,MASCULINO,SUPERIOR INCOMPLETO,PARDA,DEPUTADO
PSB,BA,DEPUTADO FEDERAL,62,FEMININO,SUPERIOR COMPLETO,PARDA,SENADOR
PSD,BA,DEPUTADO ESTADUAL,21,MASCULINO,SUPERIOR INCOMPLETO,BRANCA,"ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS"
PRB,BA,DEPUTADO ESTADUAL,43,MASCULINO,ENSINO MÉDIO COMPLETO,PRETA,OUTROS
PP,BA,DEPUTADO FEDERAL,58,MASCULINO,ENSINO MÉDIO INCOMPLETO,BRANCA,EMPRESÁRIO
PR,BA,DEPUTADO ESTADUAL,37,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PC do B,BA,DEPUTADO ESTADUAL,43,MASCULINO,SUPERIOR COMPLETO,PARDA,PROFESSOR DE ENSINO MÉDIO
PT,BA,DEPUTADO FEDERAL,54,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PT,BA,GOVERNADOR,55,MASCULINO,SUPERIOR COMPLETO,PARDA,ECONOMISTA
AVANTE,BA,DEPUTADO ESTADUAL,26,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,CANTOR E COMPOSITOR
PP,BA,DEPUTADO ESTADUAL,53,MASCULINO,SUPERIOR COMPLETO,PARDA,DEPUTADO
PSB,BA,DEPUTADO ESTADUAL,50,MASCULINO,SUPERIOR INCOMPLETO,BRANCA,DEPUTADO
PP,BA,DEPUTADO FEDERAL,55,MASCULINO,SUPERIOR COMPLETO,BRANCA,ADVOGADO
PSC,BA,DEPUTADO ESTADUAL,37,MASCULINO,SUPERIOR COMPLETO,PARDA,EMPRESÁRIO
PRP,BA,DEPUTADO ESTADUAL,81,MASCULINO,SUPERIOR COMPLETO,PARDA,DEPUTADO
PT,BA,DEPUTADO FEDERAL,58,MASCULINO,SUPERIOR COMPLETO,PARDA,PROFESSOR DE ENSINO SUPERIOR
DEM,BA,DEPUTADO ESTADUAL,50,MASCULINO,SUPERIOR COMPLETO,PARDA,MÉDICO
DEM,BA,DEPUTADO FEDERAL,54,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PODE,BA,DEPUTADO FEDERAL,61,MASCULINO,SUPERIOR COMPLETO,BRANCA,ADMINISTRADOR
PT,BA,DEPUTADO ESTADUAL,65,FEMININO,ENSINO MÉDIO COMPLETO,BRANCA,DEPUTADO
PT,BA,DEPUTADO ESTADUAL,53,MASCULINO,SUPERIOR COMPLETO,BRANCA,ENGENHEIRO
PDT,BA,DEPUTADO ESTADUAL,39,MASCULINO,SUPERIOR INCOMPLETO,PRETA,DEPUTADO
PC do B,BA,DEPUTADO ESTADUAL,56,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,DEPUTADO
DEM,BA,DEPUTADO ESTADUAL,42,MASCULINO,SUPERIOR INCOMPLETO,PARDA,DEPUTADO
PSD,BA,DEPUTADO FEDERAL,49,MASCULINO,SUPERIOR COMPLETO,PRETA,DEPUTADO
PPL,BA,DEPUTADO FEDERAL,26,MASCULINO,SUPERIOR COMPLETO,PARDA,DEPUTADO
DEM,BA,DEPUTADO ESTADUAL,35,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PSD,BA,DEPUTADO FEDERAL,53,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,EMPRESÁRIO
PSB,BA,DEPUTADO FEDERAL,63,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
DEM,BA,DEPUTADO ESTADUAL,46,MASCULINO,SUPERIOR COMPLETO,PARDA,DEPUTADO
PRP,BA,DEPUTADO FEDERAL,57,MASCULINO,SUPERIOR COMPLETO,PARDA,PESCADOR
PT,BA,SENADOR,67,MASCULINO,SUPERIOR INCOMPLETO,BRANCA,INDUSTRIAL
PSDB,BA,DEPUTADO FEDERAL,37,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PATRIOTA,BA,DEPUTADO ESTADUAL,45,MASCULINO,SUPERIOR COMPLETO,BRANCA,ADVOGADO
PP,BA,DEPUTADO ESTADUAL,75,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,DEPUTADO
PC do B,BA,DEPUTADO ESTADUAL,51,FEMININO,SUPERIOR COMPLETO,PRETA,PROFESSOR DE ENSINO MÉDIO
PSL,BA,DEPUTADO FEDERAL,32,FEMININO,SUPERIOR COMPLETO,BRANCA,PROFESSOR DE ENSINO SUPERIOR
PDT,BA,DEPUTADO FEDERAL,46,MASCULINO,SUPERIOR COMPLETO,BRANCA,"CORRETOR DE IMÓVEIS, SEGUROS, TÍTULOS E VALORES"
PT,BA,DEPUTADO ESTADUAL,53,MASCULINO,ENSINO MÉDIO COMPLETO,PRETA,OUTROS
PSD,BA,DEPUTADO FEDERAL,41,MASCULINO,SUPERIOR COMPLETO,BRANCA,ADMINISTRADOR
DEM,BA,DEPUTADO ESTADUAL,40,MASCULINO,SUPERIOR COMPLETO,PARDA,VEREADOR
PP,BA,DEPUTADO ESTADUAL,48,MASCULINO,SUPERIOR INCOMPLETO,BRANCA,DEPUTADO
PC do B,BA,DEPUTADO FEDERAL,63,MASCULINO,SUPERIOR COMPLETO,PARDA,DEPUTADO
PSD,BA,DEPUTADO ESTADUAL,35,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,EMPRESÁRIO
PR,BA,DEPUTADO FEDERAL,46,MASCULINO,SUPERIOR COMPLETO,BRANCA,ENGENHEIRO
PP,BA,DEPUTADO ESTADUAL,37,MASCULINO,SUPERIOR COMPLETO,BRANCA,COMUNICÓLOGO
PT,BA,DEPUTADO ESTADUAL,62,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
DEM,BA,DEPUTADO FEDERAL,55,MASCULINO,SUPERIOR COMPLETO,BRANCA,ENGENHEIRO
PT,BA,DEPUTADO ESTADUAL,62,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PRB,BA,DEPUTADO ESTADUAL,55,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PDT,BA,DEPUTADO FEDERAL,55,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
DEM,BA,DEPUTADO ESTADUAL,42,MASCULINO,SUPERIOR INCOMPLETO,BRANCA,DEPUTADO
PSDB,BA,DEPUTADO ESTADUAL,50,MASCULINO,SUPERIOR COMPLETO,BRANCA,MÉDICO
PSD,BA,DEPUTADO ESTADUAL,44,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PT,BA,DEPUTADO FEDERAL,58,MASCULINO,SUPERIOR COMPLETO,PARDA,DEPUTADO
PT,BA,DEPUTADO ESTADUAL,63,FEMININO,ENSINO MÉDIO COMPLETO,BRANCA,ENFERMEIRO
PSL,BA,DEPUTADO ESTADUAL,38,MASCULINO,SUPERIOR COMPLETO,PARDA,POLICIAL MILITAR
DEM,BA,DEPUTADO FEDERAL,48,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PSD,BA,SENADOR,60,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PSB,BA,DEPUTADO ESTADUAL,30,MASCULINO,SUPERIOR COMPLETO,BRANCA,ADVOGADO
DEM,BA,DEPUTADO FEDERAL,42,MASCULINO,SUPERIOR COMPLETO,PARDA,DEPUTADO
PP,BA,DEPUTADO ESTADUAL,53,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PT,BA,DEPUTADO FEDERAL,62,MASCULINO,SUPERIOR COMPLETO,PARDA,DEPUTADO
PR,BA,DEPUTADO FEDERAL,70,MASCULINO,SUPERIOR COMPLETO,BRANCA,MÉDICO
PSB,BA,DEPUTADO ESTADUAL,56,FEMININO,SUPERIOR COMPLETO,BRANCA,MÉDICO
PSD,BA,DEPUTADO FEDERAL,68,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PSD,BA,DEPUTADO ESTADUAL,54,FEMININO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PP,BA,DEPUTADO ESTADUAL,48,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,DEPUTADO
PRB,BA,DEPUTADO FEDERAL,46,MASCULINO,SUPERIOR COMPLETO,BRANCA,EMPRESÁRIO
PT,BA,DEPUTADO FEDERAL,57,MASCULINO,SUPERIOR COMPLETO,PARDA,DEPUTADO
PSC,BA,DEPUTADO ESTADUAL,26,MASCULINO,SUPERIOR INCOMPLETO,BRANCA,VEREADOR
PP,BA,DEPUTADO FEDERAL,39,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PRB,BA,DEPUTADO FEDERAL,48,MASCULINO,SUPERIOR COMPLETO,PRETA,DEPUTADO
PT,BA,DEPUTADO FEDERAL,64,MASCULINO,SUPERIOR COMPLETO,PARDA,DEPUTADO
PSD,BA,DEPUTADO ESTADUAL,55,FEMININO,SUPERIOR COMPLETO,PARDA,AGRICULTOR
PSL,BR,PRESIDENTE,63,MASCULINO,SUPERIOR COMPLETO,BRANCA,MEMBRO DAS FORÇAS ARMADAS
PSDB,CE,DEPUTADO ESTADUAL,52,FEMININO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PROS,CE,DEPUTADO ESTADUAL,40,MASCULINO,SUPERIOR COMPLETO,PARDA,DEPUTADO
PROS,CE,DEPUTADO ESTADUAL,33,MASCULINO,ENSINO MÉDIO COMPLETO,PRETA,VEREADOR
PDT,CE,DEPUTADO ESTADUAL,51,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PATRIOTA,CE,DEPUTADO ESTADUAL,44,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,BRANCA,EMPRESÁRIO
PT,CE,DEPUTADO FEDERAL,61,MASCULINO,SUPERIOR COMPLETO,PRETA,DEPUTADO
