PARTIDO,UF,DEPUTADO ESTADUAL,DEPUTADO FEDERAL,SENADOR,SUPLENTE,VICE-GOVERNADOR,GOVERNADOR,VICE-PRESIDENTE,PRESIDENTE
PMB,TO,0,0,0,0,0,0,0,0
PMN,TO,0,0,0,0,0,0,0,0
PODE,TO,0,0,0,0,0,0,0,0
PP,TO,1,0,0,0,0,0,0,0
PPL,TO,1,0,0,0,0,0,0,0
PPS,TO,1,0,0,0,0,0,0,0
PR,TO,1,1,0,0,0,0,0,0
PRB,TO,0,0,0,0,0,0,0,0
PROS,TO,1,0,0,0,0,0,0,0
PRP,TO,0,0,0,0,0,0,0,0
PRTB,TO,0,0,0,1,0,0,0,0
PSB,TO,1,0,0,0,0,0,0,0
PSC,TO,0,1,0,0,0,0,0,0
PSD,TO,0,0,1,0,0,0,0,0
PSDB,TO,2,0,0,0,0,0,0,0
PSL,TO,1,0,0,0,0,0,0,0
PSOL,TO,0,0,0,0,0,0,0,0
PSTU,TO,0,0,0,0,0,0,0,0
PT,TO,2,1,0,0,0,0,0,0
PTB,TO,0,0,0,0,0,0,0,0
PTC,TO,1,0,0,0,0,0,0,0
PV,TO,2,0,0,0,0,0,0,0
REDE,TO,0,0,0,0,0,0,0,0
SOLIDARIEDADE,TO,3,2,1,1,0,0,0,0
